Country Athlete Rating
Indonesia	Roger Federer	0.998148148148
Indonesia	Russell Westbrook	1.175
Indonesia	Serena Williams	2.0
Indonesia	Tiger Woods	1.75833333333
Indonesia	Tom Brady	1.5
Indonesia	Virat Kohli	0.75
Indonesia	Wayne Rooney	1.08284970238
Indonesia	Zlatan Ibrahimovic	1.0
Iraq	Conor McGregor	1.00888888889
Iraq	Serena Williams	0.6875
Iraq	Toni Kroos	1.0
Ireland	Aaron Rodgers	1.22916666667
Ireland	Andy Murray	1.13420138889
Ireland	Antoine Griezmann	1.0
Ireland	Cam Newton	1.275
Ireland	Carmelo Anthony	1.225
Ireland	Chris Paul	1.2
Ireland	Conor McGregor	1.04028211937
Ireland	Cristiano Ronaldo	0.2
Ireland	Damian Lillard	1.0
Ireland	Dani Alves	1.14285714286
Ireland	Derrick Rose	1.4
Ireland	Gareth Bale	1.1
Ireland	J.J. Watt	0.6
Ireland	James Harden	1.0
Ireland	Kevin Durant	0.4
Ireland	LeBron James	0.854166666667
Ireland	Lewis Hamilton	1.08
Ireland	Lionel Messi	0.75
Ireland	Neymar	1.2
Ireland	Novak Djokovic	1.225
Ireland	Odell Beckham Jr.	1.0
Ireland	Paul Pogba	1.0
Ireland	Rafael Nadal	1.40185185185
Ireland	Rickie Fowler	0.803333333333
Ireland	Roger Federer	1.0765625
Ireland	Rory McIlroy	1.12
Ireland	Russell Westbrook	0.833333333333
Ireland	Ryan Lochte	1.5
Ireland	Serena Williams	0.925
Ireland	Simone Biles	1.0
Ireland	Thiago Silva	1.0
Ireland	Tiger Woods	1.45
Ireland	Tom Brady	0.6
Ireland	Wayne Rooney	1.16683897243
Irlanda	Wayne Rooney	1.11666666667
Irlande	Russell Wilson	1.3
Isle of Man	Tiger Woods	0.13125
Israel	Wayne Rooney	1.25
Italia	Conor McGregor	1.03409090909
Italia	Roger Federer	1.025
Italia	Wayne Rooney	1.0
Italie	Conor McGregor	1.25
Italy	Andy Murray	1.5
Italy	Chris Paul	1.0
Italy	Conor McGregor	1.17
Italy	Dani Alves	1.0
Italy	Lewis Hamilton	1.0
Italy	Rafael Nadal	1.8
